id,dir,OmM,OmB,h,mean,median,std,min,max,range,q05,q25,q75,q95,iqr,w90,skew,kurt,grad_mean,rmse_to_mean,corr_to_mean,dist_mean,outlier_struct,outlier_maha
11,0011_0.12364_0.02268_0.68939,0.12364,0.02268,0.68939,9.72104263305664,9.702919006347656,0.28671276569366455,8.805091857910156,13.020403861999512,4.2153120040893555,9.289836883544922,9.526803970336914,9.885793685913086,10.219053506851196,0.3589897155761719,0.9292166233062744,0.6851201221125574,1.4829130531826307,0.11114082485437393,0.1004319832754374,0.9558372253146286,700.8692549235927,-0.8052162465598492,1.5663506397701774
12,0012_0.12215_0.02222_0.73090,0.12215,0.02222,0.7309,9.744298934936523,9.72930908203125,0.25844478607177734,8.883386611938477,12.49952507019043,3.616138458251953,9.350685119628906,9.569801330566406,9.895614624023438,10.188868045806885,0.32581329345703125,0.8381829261779785,0.6139488202559914,1.2768581237398555,0.10144093632698059,0.09857076505607727,0.9469468724062153,696.4116308558715,-0.8485503358400294,1.5867688710669559
13,0013_0.14583_0.02306_0.84314,0.14583,0.02306,0.84314,9.747567176818848,9.743085861206055,0.14948958158493042,9.151968955993652,10.868316650390625,1.7163476943969727,9.508631706237793,9.64753246307373,9.84070873260498,10.001608848571777,0.19317626953125,0.4929771423339844,0.29402320949605254,0.41631822253074446,0.06520947068929672,0.16167466602548183,0.7422962542028687,872.4421275019151,0.8627023722856444,1.7902711391557704
14,0014_0.12583_0.02208_0.66800,0.12583,0.02208,0.668,9.691061973571777,9.671754837036133,0.2966131865978241,8.75624942779541,13.112903594970703,4.356654167175293,9.246966361999512,9.489710807800293,9.86038589477539,10.208370208740234,0.37067508697509766,0.9614038467407227,0.7076940185993914,1.542644989154713,0.1145709827542305,0.10762922029653116,0.9506570664582217,718.6094757897206,-0.6327574875474733,1.0617249728397764
15,0015_0.12226_0.02230_0.84993,0.12226,0.0223,0.84993,9.796662330627441,9.789572715759277,0.17986992001533508,9.117475509643555,11.36228084564209,2.244805335998535,9.512826681137085,9.676128387451172,9.906668663024902,10.104378700256348,0.23054027557373047,0.5915520191192627,0.38293073716579346,0.6163749023432743,0.07518278062343597,0.1653169737621312,0.8188033225088213,883.8459002383711,0.973562350243609,1.9778371386097768
16,0016_0.13555_0.02336_0.63565,0.13555,0.02336,0.63565,9.677678108215332,9.657774925231934,0.30149999260902405,8.73382568359375,13.156119346618652,4.422293663024902,9.227204084396362,9.472856521606445,9.849188804626465,10.204601526260376,0.37633228302001953,0.9773974418640137,0.7181553500577166,1.569091661861746,0.11625663936138153,0.11540519072987865,0.9459562324689019,738.6232386155845,-0.43819684897579186,0.9383286655092026
17,0017_0.15415_0.02243_0.79199,0.15415,0.02243,0.79199,9.706559181213379,9.701028823852539,0.16184169054031372,9.07451343536377,10.982293128967285,1.9077796936035156,9.449204444885254,9.598199844360352,9.806585311889648,9.982553720474243,0.20838546752929688,0.5333492755889893,0.3303161958616143,0.4912211887623994,0.0693008303642273,0.14433109231115515,0.774205437957388,819.6994033734504,0.3499722986993348,2.1064649368069692
18,0018_0.15051_0.02245_0.55234,0.15051,0.02245,0.55234,9.580516815185547,9.556713104248047,0.32897669076919556,8.589316368103027,13.38273811340332,4.793421745300293,9.095027923583984,9.35584831237793,9.764382362365723,10.16202163696289,0.40853404998779297,1.0669937133789062,0.7699412735973957,1.6780514157139157,0.12570922076702118,0.20110425171314264,0.8865531863707768,1000.8494889089088,2.1109942827085924,2.242340597728573
19,0019_0.14967_0.02232_0.58228,0.14967,0.02232,0.58228,9.599175453186035,9.577461242675781,0.31456199288368225,8.631576538085938,13.200319290161133,4.568742752075195,9.132036209106445,9.384950637817383,9.776542901992798,10.151984453201294,0.39159226417541504,1.0199482440948486,0.7449079653402612,1.6301813103397373,0.12079713493585587,0.16596653051094035,0.9251553155553727,885.8906453283025,0.993440017120887,1.8899492439171364
20,0020_0.14779_0.02159_0.74635,0.14779,0.02159,0.74635,9.692286491394043,9.68361759185791,0.19557814300060272,8.969766616821289,11.482741355895996,2.512974739074707,9.38590145111084,9.560999870300293,9.810830116271973,10.02711009979248,0.2498302459716797,0.6412086486816406,0.4312889297283383,0.7386735652318941,0.08041340112686157,0.11800825101298366,0.8533514931224404,745.5076876098341,-0.3712707639517199,1.5416528162523626
21,0021_0.12588_0.02164_0.77056,0.12588,0.02164,0.77056,9.748748779296875,9.737740516662598,0.21966297924518585,8.965710639953613,12.032973289489746,3.067262649536133,9.408321380615234,9.601086616516113,9.880232810974121,10.124381065368652,0.2791461944580078,0.716059684753418,0.5033583469232689,0.9435706562481152,0.08836324512958527,0.11414166832904957,0.8989371844761664,735.3141619763924,-0.4703655155881412,1.090035554603891
22,0022_0.14166_0.02288_0.61201,0.14166,0.02288,0.61201,9.642828941345215,9.622130393981934,0.3071882426738739,8.688583374023438,13.165423393249512,4.476840019226074,9.185091972351074,9.4338960647583,9.816914558410645,10.18097972869873,0.38301849365234375,0.9958877563476562,0.7301951243475138,1.5974766072227737,0.11824414134025574,0.13334116677656982,0.9384411911369323,787.775632410973,0.03963039457478573,1.006784592672487
23,0023_0.13375_0.02268_0.56844,0.13375,0.02268,0.56844,9.626043319702148,9.60114049911499,0.3363425135612488,8.625448226928711,13.551435470581055,4.925987243652344,9.131072044372559,9.396005630493164,9.813271522521973,10.222405672073364,0.4172658920288086,1.0913336277008057,0.7805405180443816,1.6924754415628467,0.12815988063812256,0.19509793685144786,0.8603618947593903,980.6536783160208,1.9146638954838986,1.4341788227207595
24,0024_0.12751_0.02317_0.81770,0.12751,0.02317,0.8177,9.79124927520752,9.783417701721191,0.1875530332326889,9.092138290405273,11.473989486694336,2.3818511962890625,9.496261596679688,9.665512084960938,9.905474662780762,10.112259864807129,0.23996257781982422,0.6159982681274414,0.40601511625746867,0.6748685448129628,0.07771053910255432,0.15728020271322654,0.8363777918133999,858.8276346348043,0.7303512272709963,1.8967613457326846
25,0025_0.13482_0.02244_0.84024,0.13482,0.02244,0.84024,9.763702392578125,9.757946014404297,0.16479478776454926,9.122430801391602,11.075748443603516,1.953317642211914,9.501954078674316,9.653376579284668,9.865382194519043,10.044915199279785,0.212005615234375,0.5429611206054688,0.33852196279363,0.5107729983721692,0.0702473446726799,0.15756277933574978,0.7819024830044298,859.6982078876407,0.7388143678342682,1.4922470461369957
26,0026_0.12115_0.02259_0.80511,0.12115,0.02259,0.80511,9.7918701171875,9.782161712646484,0.20695416629314423,9.040739059448242,11.81418514251709,2.7734460830688477,9.469215393066406,9.65289306640625,9.916574478149414,10.145852327346802,0.26368141174316406,0.6766369342803955,0.4646041422214984,0.8335170082282723,0.08410997688770294,0.14631244424181744,0.876548925143049,825.585291619591,0.4071910329121118,2.104717341540199
27,0027_0.12056_0.02215_0.63806,0.12056,0.02215,0.63806,9.683648109436035,9.661393165588379,0.3194607198238373,8.708536148071289,13.342300415039062,4.633764266967773,9.210029602050781,9.465970039367676,9.863236427307129,10.2460777759552,0.3972663879394531,1.036048173904419,0.752466962829705,1.6469186404734302,0.12237295508384705,0.145807684294534,0.9138398954700048,824.0822187905751,0.39257914748219386,1.4997108958754641
